rating_id,student_id,course_id,rating_date,rating,review_text,difficulty_rating,content_quality,instructor_rating,would_recommend
R0032,S057,C025,2024-01-11,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",5,5,2,True
R0033,S110,C029,2024-03-09,4,"Nội dung chi tiết, rõ ràng và thực tế.",2,3,3,True
R0034,S094,C018,2024-02-07,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",5,3,2,True
R0035,S061,C022,2024-01-17,5,"Nội dung chi tiết, rõ ràng và thực tế.",2,1,3,True
R0036,S099,C019,2024-01-23,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",4,5,5,True
R0037,S085,C007,2024-02-16,3,Học xong có thêm kiến thức nhưng chưa sâu.,1,2,4,False
R0038,S063,C005,2024-03-25,4,"Nội dung chi tiết, rõ ràng và thực tế.",4,5,2,True
R0039,S080,C019,2024-03-19,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",4,1,1,True
R0040,S079,C018,2024-01-31,3,Không quá xuất sắc nhưng cũng không tệ.,2,2,3,False
R0041,S029,C003,2024-02-22,4,"Khóa học tuyệt vời, highly recommend.",2,3,3,True
R0042,S111,C017,2024-03-14,3,Không quá xuất sắc nhưng cũng không tệ.,5,5,2,True
R0043,S089,C003,2024-02-20,3,"Khóa học ổn, nhưng vẫn có thể cải thiện thêm.",5,2,1,True
R0044,S018,C009,2024-03-20,2,Mình không hài lòng với khóa học này.,2,4,1,False
R0045,S001,C022,2024-03-23,5,"Khóa học tuyệt vời, highly recommend.",3,1,4,True
R0046,S113,C011,2024-02-25,5,"Khóa học tuyệt vời, highly recommend.",5,4,5,True
R0047,S063,C011,2024-02-03,4,"Khóa học tuyệt vời, highly recommend.",2,2,1,True
R0048,S060,C023,2024-03-31,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",1,3,2,True
R0049,S079,C008,2024-03-11,4,"Khóa học tuyệt vời, highly recommend.",2,3,4,True
R0050,S052,C014,2024-03-23,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",2,5,5,True
R0051,S099,C004,2024-03-27,1,"Trải nghiệm học không tốt, cần cải thiện.",4,5,4,False
R0052,S110,C022,2024-03-15,4,"Nội dung chi tiết, rõ ràng và thực tế.",4,2,4,True
R0053,S025,C003,2024-01-20,3,Học xong có thêm kiến thức nhưng chưa sâu.,2,4,4,True
R0054,S006,C031,2024-03-22,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",2,1,2,True
R0055,S111,C018,2024-03-23,3,Nội dung khá tốt nhưng chưa thật sự nổi bật.,5,5,1,False
R0056,S100,C031,2024-03-26,4,"Khóa học tuyệt vời, highly recommend.",3,4,3,True
R0057,S030,C014,2024-03-06,4,"Khóa học tuyệt vời, highly recommend.",3,1,5,True
R0058,S082,C023,2024-03-15,2,Khóa học chưa đáp ứng được kỳ vọng.,5,3,1,False
R0059,S107,C017,2024-03-17,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",2,4,4,True
R0060,S104,C017,2024-01-03,1,Chất lượng bài giảng chưa tốt.,5,1,3,False
R0061,S099,C034,2024-03-06,2,Chất lượng bài giảng chưa tốt.,2,4,2,False
R0062,S080,C033,2024-01-24,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",2,4,3,True
R0063,S035,C016,2024-03-17,4,"Khóa học tuyệt vời, highly recommend.",1,4,1,True
R0064,S081,C012,2024-02-29,3,"Tạm ổn, phù hợp với người mới bắt đầu.",5,2,1,True
R0065,S029,C008,2024-03-27,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",1,2,1,True
R0066,S074,C034,2024-03-01,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",5,3,5,True
R0067,S020,C003,2024-03-03,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",4,4,5,True
R0068,S050,C012,2024-03-16,3,Không quá xuất sắc nhưng cũng không tệ.,5,1,5,False
R0069,S007,C025,2024-01-14,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",2,5,5,True
R0070,S075,C004,2024-03-16,5,"Khóa học tuyệt vời, highly recommend.",3,4,2,True
R0071,S114,C002,2024-03-12,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",3,5,1,True
R0072,S081,C019,2024-02-20,4,"Nội dung chi tiết, rõ ràng và thực tế.",1,5,2,True
R0073,S112,C006,2024-03-06,4,"Nội dung chi tiết, rõ ràng và thực tế.",3,4,2,True
R0074,S022,C005,2024-03-08,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",5,4,1,True
R0075,S061,C028,2024-03-27,4,"Nội dung chi tiết, rõ ràng và thực tế.",5,1,3,True
R0076,S032,C001,2024-02-26,3,"Khóa học ổn, nhưng vẫn có thể cải thiện thêm.",5,3,4,True
R0077,S086,C002,2024-02-06,3,Không quá xuất sắc nhưng cũng không tệ.,2,4,2,False
R0078,S064,C025,2024-03-26,2,Khóa học chưa đáp ứng được kỳ vọng.,4,3,2,False
R0079,S042,C009,2024-03-27,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",1,1,3,True
R0080,S110,C031,2024-01-09,4,"Nội dung chi tiết, rõ ràng và thực tế.",3,2,4,True
R0081,S020,C014,2024-03-14,2,Mình không hài lòng với khóa học này.,3,1,4,False
R0082,S006,C013,2024-02-24,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",2,4,2,True
R0083,S086,C002,2024-02-07,2,Chất lượng bài giảng chưa tốt.,3,2,4,False
R0084,S120,C023,2024-02-21,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",5,2,1,True
R0085,S034,C014,2024-02-23,4,"Nội dung chi tiết, rõ ràng và thực tế.",4,5,2,True
R0086,S115,C027,2024-01-22,3,Không quá xuất sắc nhưng cũng không tệ.,3,3,2,False
R0087,S047,C005,2024-03-30,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",3,1,5,True
R0088,S120,C017,2024-01-27,5,"Khóa học tuyệt vời, highly recommend.",5,2,1,True
R0089,S005,C031,2024-02-02,3,Không quá xuất sắc nhưng cũng không tệ.,4,4,4,True
R0090,S064,C003,2024-02-09,2,Chất lượng bài giảng chưa tốt.,4,3,2,False
R0091,S091,C016,2024-01-20,1,Khóa học chưa đáp ứng được kỳ vọng.,4,2,1,False
R0092,S081,C025,2024-02-14,5,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",3,5,5,True
R0093,S066,C018,2024-03-26,5,"Rất đáng học, mình áp dụng được ngay vào công việc.",5,5,5,True
R0094,S105,C008,2024-03-08,5,"Rất đáng học, mình áp dụng được ngay vào công việc.",5,3,1,True
R0095,S043,C026,2024-03-17,1,Nội dung chưa rõ ràng và hơi khó hiểu.,5,2,1,False
R0096,S087,C026,2024-02-14,3,Học xong có thêm kiến thức nhưng chưa sâu.,1,2,5,False
R0097,S104,C023,2024-02-19,3,Nội dung khá tốt nhưng chưa thật sự nổi bật.,4,4,5,False
R0098,S110,C012,2024-02-14,5,"Nội dung chi tiết, rõ ràng và thực tế.",1,3,1,True
R0099,S040,C022,2024-03-01,2,Chất lượng bài giảng chưa tốt.,2,3,3,False
R0100,S115,C012,2024-03-02,2,Chất lượng bài giảng chưa tốt.,5,2,1,False
R0101,S114,C005,2024-03-13,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",3,2,4,True
R0102,S017,C009,2024-01-06,2,Chất lượng bài giảng chưa tốt.,5,1,2,False
R0103,S048,C013,2024-03-04,4,"Khóa học tuyệt vời, highly recommend.",1,4,3,True
R0104,S071,C007,2024-03-12,4,"Nội dung chi tiết, rõ ràng và thực tế.",5,2,2,True
R0105,S028,C002,2024-02-11,3,Không quá xuất sắc nhưng cũng không tệ.,5,5,2,True
R0106,S058,C015,2024-03-24,4,"Khóa học tuyệt vời, highly recommend.",2,5,1,True
R0107,S077,C011,2024-01-26,1,Mình không hài lòng với khóa học này.,3,5,3,False
R0108,S050,C004,2024-03-10,2,Khóa học chưa đáp ứng được kỳ vọng.,4,5,3,False
R0109,S074,C022,2024-02-13,3,"Khóa học ổn, nhưng vẫn có thể cải thiện thêm.",5,2,1,True
R0110,S062,C029,2024-02-16,2,Nội dung chưa rõ ràng và hơi khó hiểu.,5,3,1,False
R0111,S116,C014,2024-03-27,5,"Nội dung chi tiết, rõ ràng và thực tế.",4,3,1,True
R0112,S102,C002,2024-02-11,1,"Trải nghiệm học không tốt, cần cải thiện.",4,1,1,False
R0113,S112,C027,2024-01-17,2,Mình không hài lòng với khóa học này.,3,1,3,False
R0114,S064,C030,2024-03-28,1,Nội dung chưa rõ ràng và hơi khó hiểu.,5,5,3,False
R0115,S081,C032,2024-02-24,1,Chất lượng bài giảng chưa tốt.,4,1,5,False
R0116,S115,C007,2024-03-18,5,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",1,5,1,True
R0117,S105,C004,2024-03-15,4,"Khóa học tuyệt vời, highly recommend.",4,1,2,True
R0118,S030,C008,2024-03-24,2,Nội dung chưa rõ ràng và hơi khó hiểu.,5,5,5,False
R0119,S011,C028,2024-03-26,4,"Nội dung chi tiết, rõ ràng và thực tế.",1,1,5,True
R0120,S089,C004,2024-03-30,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",4,4,5,True
R0121,S009,C034,2024-02-23,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",5,1,2,True
R0122,S025,C012,2024-03-04,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",2,1,2,True
R0123,S120,C001,2024-02-20,5,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",3,3,3,True
R0124,S046,C035,2024-02-26,2,Khóa học chưa đáp ứng được kỳ vọng.,4,5,5,False
R0125,S093,C005,2024-02-03,3,Không quá xuất sắc nhưng cũng không tệ.,4,5,1,False
R0126,S104,C024,2024-01-09,2,Khóa học chưa đáp ứng được kỳ vọng.,5,2,4,False
R0127,S040,C005,2024-01-30,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",4,2,5,True
R0128,S091,C033,2024-02-02,3,Nội dung khá tốt nhưng chưa thật sự nổi bật.,3,3,3,False
R0129,S064,C014,2024-03-28,5,"Khóa học tuyệt vời, highly recommend.",2,3,3,True
R0130,S097,C023,2024-03-02,4,"Khóa học tuyệt vời, highly recommend.",4,5,2,True
R0131,S118,C030,2024-03-05,3,"Khóa học ổn, nhưng vẫn có thể cải thiện thêm.",5,4,4,True
R0132,S019,C026,2024-03-03,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",3,3,5,True
R0133,S042,C025,2024-01-13,3,"Tạm ổn, phù hợp với người mới bắt đầu.",3,3,4,True
R0134,S055,C011,2024-01-06,1,Nội dung chưa rõ ràng và hơi khó hiểu.,5,5,1,False
R0135,S073,C012,2024-03-28,4,"Khóa học tuyệt vời, highly recommend.",5,1,3,True
R0136,S079,C010,2024-03-28,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",2,3,4,True
R0137,S085,C027,2024-03-22,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",2,2,4,True
R0138,S073,C022,2024-02-17,4,"Nội dung chi tiết, rõ ràng và thực tế.",1,2,5,True
R0139,S063,C028,2024-03-10,5,"Rất đáng học, mình áp dụng được ngay vào công việc.",4,3,3,True
R0140,S039,C031,2024-03-29,1,"Trải nghiệm học không tốt, cần cải thiện.",3,4,1,False
R0141,S024,C016,2024-03-18,5,"Rất đáng học, mình áp dụng được ngay vào công việc.",3,3,1,True
R0142,S023,C026,2024-03-04,2,Khóa học chưa đáp ứng được kỳ vọng.,2,1,4,False
R0143,S087,C011,2024-03-11,2,Nội dung chưa rõ ràng và hơi khó hiểu.,2,1,2,False
R0144,S102,C033,2024-03-25,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",3,2,1,True
R0145,S101,C015,2024-02-27,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",2,3,4,True
R0146,S030,C035,2024-03-09,1,Chất lượng bài giảng chưa tốt.,4,5,5,False
R0147,S074,C025,2024-01-26,1,"Trải nghiệm học không tốt, cần cải thiện.",4,2,2,False
R0148,S065,C033,2024-01-28,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",2,3,3,True
R0149,S059,C011,2024-03-15,1,Nội dung chưa rõ ràng và hơi khó hiểu.,4,3,3,False
R0150,S063,C004,2024-02-18,5,"Rất đáng học, mình áp dụng được ngay vào công việc.",3,3,2,True
R0151,S033,C007,2024-01-27,4,"Khóa học tuyệt vời, highly recommend.",4,3,4,True
R0152,S029,C015,2024-03-29,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",4,2,5,True
R0153,S035,C001,2024-03-13,3,"Tạm ổn, phù hợp với người mới bắt đầu.",1,2,3,False
R0154,S112,C018,2024-01-07,2,Chất lượng bài giảng chưa tốt.,2,2,1,False
R0155,S007,C010,2024-03-22,5,"Khóa học tuyệt vời, highly recommend.",3,3,4,True
R0156,S097,C021,2024-01-17,1,Chất lượng bài giảng chưa tốt.,3,3,2,False
R0157,S041,C019,2024-03-29,2,Mình không hài lòng với khóa học này.,3,1,3,False
R0158,S044,C026,2024-03-29,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",3,3,2,True
R0159,S080,C028,2024-02-25,4,"Khóa học tuyệt vời, highly recommend.",1,5,4,True
R0160,S098,C002,2024-03-13,3,"Khóa học ổn, nhưng vẫn có thể cải thiện thêm.",4,1,2,True
R0161,S049,C032,2024-03-24,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",1,1,3,True
R0162,S063,C007,2024-03-14,1,Nội dung chưa rõ ràng và hơi khó hiểu.,1,3,3,False
R0163,S065,C023,2024-02-22,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",4,2,2,True
R0164,S050,C020,2024-03-12,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",1,5,5,True
R0165,S045,C018,2024-01-06,2,Mình không hài lòng với khóa học này.,1,2,3,False
R0166,S004,C011,2024-02-26,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",2,5,3,True
R0167,S037,C002,2024-02-24,5,"Rất đáng học, mình áp dụng được ngay vào công việc.",1,1,4,True
R0168,S080,C012,2024-02-20,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",2,5,1,True
R0169,S017,C001,2024-03-18,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",2,2,4,True
R0170,S119,C024,2024-03-29,4,"Khóa học tuyệt vời, highly recommend.",2,3,1,True
R0171,S058,C028,2024-03-16,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",4,4,4,True
R0172,S024,C001,2024-01-27,4,"Khóa học tuyệt vời, highly recommend.",2,5,5,True
R0173,S104,C035,2024-01-28,5,"Khóa học tuyệt vời, highly recommend.",5,4,4,True
R0174,S028,C003,2024-02-23,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",5,3,4,True
R0175,S008,C029,2024-03-10,5,"Khóa học tuyệt vời, highly recommend.",3,1,3,True
R0176,S083,C033,2024-01-12,2,Khóa học chưa đáp ứng được kỳ vọng.,1,1,2,False
R0177,S089,C021,2024-02-23,2,"Trải nghiệm học không tốt, cần cải thiện.",2,3,2,False
R0178,S097,C010,2024-02-24,3,Không quá xuất sắc nhưng cũng không tệ.,3,4,3,True
R0179,S073,C015,2024-03-04,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",4,4,2,True
R0180,S120,C008,2024-03-26,4,"Nội dung chi tiết, rõ ràng và thực tế.",2,2,1,True
R0181,S099,C002,2024-01-18,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",4,5,4,True
R0182,S089,C028,2024-03-02,2,"Trải nghiệm học không tốt, cần cải thiện.",1,5,2,False
R0183,S066,C014,2024-03-25,5,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",3,4,5,True
R0184,S086,C029,2024-03-13,3,Học xong có thêm kiến thức nhưng chưa sâu.,1,4,3,False
R0185,S059,C018,2024-02-14,3,Không quá xuất sắc nhưng cũng không tệ.,1,4,5,True
R0186,S102,C035,2024-02-25,3,"Khóa học ổn, nhưng vẫn có thể cải thiện thêm.",1,4,1,False
R0187,S039,C028,2024-03-13,2,Khóa học chưa đáp ứng được kỳ vọng.,3,3,1,False
R0188,S006,C026,2024-02-01,3,"Khóa học ổn, nhưng vẫn có thể cải thiện thêm.",2,2,1,False
R0189,S097,C010,2024-02-24,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",1,2,1,True
R0190,S030,C001,2024-02-07,2,Khóa học chưa đáp ứng được kỳ vọng.,4,5,3,False
R0191,S027,C010,2024-03-25,2,Chất lượng bài giảng chưa tốt.,2,5,2,False
R0192,S042,C030,2024-03-24,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",3,2,2,True
R0193,S093,C031,2024-01-08,1,"Trải nghiệm học không tốt, cần cải thiện.",1,2,1,False
R0194,S042,C021,2024-03-02,4,"Nội dung chi tiết, rõ ràng và thực tế.",3,2,1,True
R0195,S007,C001,2024-02-22,2,Chất lượng bài giảng chưa tốt.,1,4,2,False
R0196,S018,C031,2024-02-17,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",5,2,1,True
R0197,S035,C029,2024-03-17,5,"Rất đáng học, mình áp dụng được ngay vào công việc.",5,2,5,True
R0198,S005,C028,2024-01-29,4,"Nội dung chi tiết, rõ ràng và thực tế.",1,4,4,True
R0199,S019,C021,2024-02-25,3,"Tạm ổn, phù hợp với người mới bắt đầu.",4,2,2,True
R0200,S068,C024,2024-01-21,4,"Nội dung chi tiết, rõ ràng và thực tế.",1,4,4,True
R0201,S062,C011,2024-02-02,2,Mình không hài lòng với khóa học này.,1,4,4,False
R0202,S068,C011,2024-02-09,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",2,1,2,True
R0203,S012,C006,2024-03-25,4,"Nội dung chi tiết, rõ ràng và thực tế.",2,4,2,True
R0204,S060,C015,2024-01-04,3,Học xong có thêm kiến thức nhưng chưa sâu.,1,5,1,False
R0205,S014,C031,2024-03-08,5,"Khóa học tuyệt vời, highly recommend.",4,3,4,True
R0206,S033,C030,2024-03-04,2,Nội dung chưa rõ ràng và hơi khó hiểu.,3,3,3,False
R0207,S022,C018,2024-03-06,4,"Khóa học tuyệt vời, highly recommend.",3,3,1,True
R0208,S030,C030,2024-03-26,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",3,1,2,True
R0209,S035,C030,2024-01-23,3,Nội dung khá tốt nhưng chưa thật sự nổi bật.,5,4,1,True
R0210,S048,C014,2024-02-04,3,"Khóa học ổn, nhưng vẫn có thể cải thiện thêm.",3,3,5,False
R0211,S094,C002,2024-03-22,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",3,2,3,True
R0212,S077,C022,2024-03-09,2,Nội dung chưa rõ ràng và hơi khó hiểu.,1,2,5,False
R0213,S087,C007,2024-02-02,1,Mình không hài lòng với khóa học này.,2,2,5,False
R0214,S099,C002,2024-01-17,1,Chất lượng bài giảng chưa tốt.,2,2,5,False
R0215,S004,C023,2024-02-18,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",5,5,4,True
R0216,S080,C034,2024-01-03,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",3,1,1,True
R0217,S082,C001,2024-01-11,4,"Khóa học tuyệt vời, highly recommend.",3,2,1,True
R0218,S004,C021,2024-03-23,5,"Khóa học tuyệt vời, highly recommend.",3,2,5,True
R0219,S062,C016,2024-03-07,2,Nội dung chưa rõ ràng và hơi khó hiểu.,4,4,1,False
R0220,S089,C006,2024-03-23,1,"Trải nghiệm học không tốt, cần cải thiện.",4,2,1,False
R0221,S085,C006,2024-01-18,3,Không quá xuất sắc nhưng cũng không tệ.,4,5,2,True
R0222,S097,C032,2024-02-19,2,Mình không hài lòng với khóa học này.,2,4,3,False
R0223,S084,C001,2024-03-22,3,Học xong có thêm kiến thức nhưng chưa sâu.,3,1,1,False
R0224,S020,C009,2024-01-30,5,"Rất đáng học, mình áp dụng được ngay vào công việc.",1,4,5,True
R0225,S099,C016,2024-01-09,5,"Khóa học tuyệt vời, highly recommend.",3,4,2,True
R0226,S081,C010,2024-03-28,4,"Nội dung chi tiết, rõ ràng và thực tế.",3,4,5,True
R0227,S001,C006,2024-03-30,4,"Khóa học tuyệt vời, highly recommend.",2,1,3,True
R0228,S117,C016,2024-03-03,5,"Khóa học tuyệt vời, highly recommend.",2,2,3,True
R0229,S095,C007,2024-01-15,3,Học xong có thêm kiến thức nhưng chưa sâu.,1,2,4,False
R0230,S017,C017,2024-03-01,5,"Khóa học tuyệt vời, highly recommend.",2,4,4,True
R0231,S012,C027,2024-01-28,3,Nội dung khá tốt nhưng chưa thật sự nổi bật.,2,5,4,False
R0232,S029,C032,2024-03-26,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",2,5,4,True
R0233,S101,C007,2024-02-13,2,Khóa học chưa đáp ứng được kỳ vọng.,5,2,2,False
R0234,S101,C012,2024-03-23,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",1,1,1,True
R0235,S068,C023,2024-02-29,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",3,4,1,True
R0236,S078,C026,2024-02-07,3,Nội dung khá tốt nhưng chưa thật sự nổi bật.,3,3,4,False
R0237,S066,C035,2024-03-26,5,"Khóa học tuyệt vời, highly recommend.",5,4,2,True
R0238,S095,C029,2024-03-07,4,"Khóa học tuyệt vời, highly recommend.",3,1,1,True
R0239,S029,C005,2024-03-24,2,"Trải nghiệm học không tốt, cần cải thiện.",5,5,1,False
R0240,S095,C015,2024-01-11,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",1,3,4,True
R0241,S058,C035,2024-03-31,2,Mình không hài lòng với khóa học này.,1,1,4,False
R0242,S106,C003,2024-03-27,1,Mình không hài lòng với khóa học này.,3,3,2,False
R0243,S046,C027,2024-01-06,3,"Tạm ổn, phù hợp với người mới bắt đầu.",5,5,3,False
R0244,S073,C006,2024-03-29,2,"Trải nghiệm học không tốt, cần cải thiện.",1,4,4,False
R0245,S074,C018,2024-03-16,4,"Nội dung chi tiết, rõ ràng và thực tế.",5,1,1,True
R0246,S033,C032,2024-03-18,4,"Khóa học tuyệt vời, highly recommend.",1,1,1,True
R0247,S106,C012,2024-02-14,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",5,5,1,True
R0248,S025,C005,2024-02-13,2,Nội dung chưa rõ ràng và hơi khó hiểu.,5,1,4,False
R0249,S072,C027,2024-01-16,3,Nội dung khá tốt nhưng chưa thật sự nổi bật.,1,2,1,False
R0250,S068,C010,2024-03-04,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",2,5,3,True
R0251,S093,C035,2024-03-07,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",1,5,3,True
R0252,S045,C003,2024-02-18,5,"Rất đáng học, mình áp dụng được ngay vào công việc.",2,2,2,True
R0253,S028,C030,2024-02-10,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",4,5,4,True
R0254,S017,C005,2024-02-26,5,"Nội dung chi tiết, rõ ràng và thực tế.",1,3,1,True
R0255,S025,C026,2024-02-25,3,Học xong có thêm kiến thức nhưng chưa sâu.,1,4,4,False
R0256,S002,C022,2024-03-14,5,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",5,4,4,True
R0257,S119,C033,2024-01-12,2,"Trải nghiệm học không tốt, cần cải thiện.",4,4,1,False
R0258,S036,C016,2024-03-03,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",2,4,4,True
R0259,S092,C012,2024-02-14,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",1,2,5,True
R0260,S042,C003,2024-03-08,5,"Nội dung chi tiết, rõ ràng và thực tế.",2,3,5,True
R0261,S065,C001,2024-02-16,4,"Khóa học tuyệt vời, highly recommend.",1,2,2,True
R0262,S038,C002,2024-03-29,5,"Rất đáng học, mình áp dụng được ngay vào công việc.",1,1,4,True
R0263,S061,C009,2024-03-01,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",5,1,2,True
R0264,S059,C001,2024-02-01,3,"Khóa học ổn, nhưng vẫn có thể cải thiện thêm.",5,2,3,True
