module_id,course_id,module_number,module_title,module_type,duration_minutes,content_url,description,order
M044,C008,6,Practice: Hypothesis Testing,quiz,20,quiz:Hypothesis Testing,Statistical tests quiz,6
M045,C009,1,Matrices and Vectors,video,40,https://example.com/videos/algebra-basics,Linear algebra fundamentals,1
M046,C009,2,Practice: Matrix Operations,quiz,20,quiz:Matrix Operations Quiz,Quiz on matrix operations,2
M047,C009,3,Eigenvalues and Eigenvectors,video,45,https://example.com/videos/algebra-eigen,Understanding eigenvalues,3
M048,C009,4,Practice: Linear Algebra,quiz,20,quiz:Eigenvectors Quiz,Linear algebra quiz,4
M049,C014,1,Matplotlib Basics,video,30,https://example.com/videos/viz-matplotlib,Creating plots with Matplotlib,1
M050,C014,2,Practice: Matplotlib,quiz,15,quiz:Matplotlib Basics Quiz,Matplotlib concepts quiz,2
M051,C014,3,Seaborn for Statistical Plots,video,35,https://example.com/videos/viz-seaborn,Advanced visualization with Seaborn,3
M052,C014,4,Practice: Visualization,quiz,15,quiz:Seaborn Basics Quiz,Seaborn quiz,4
M053,C015,1,Tableau Interface,video,25,https://example.com/videos/tableau-intro,Getting started with Tableau,1
M054,C015,2,Building Dashboards,video,40,https://example.com/videos/tableau-dashboards,Creating interactive dashboards,2
M055,C015,3,Practice: Tableau Basics,quiz,15,quiz:Tableau Basics Quiz,Tableau fundamentals quiz,3
M056,C018,1,React Fundamentals,video,45,https://example.com/videos/react-basics,Components and JSX,1
M057,C018,2,React Hooks,video,50,https://example.com/videos/react-hooks,useState useEffect and custom hooks,2
M058,C018,3,Practice: React Hooks,quiz,20,quiz:React Hooks Quiz,Hooks concepts quiz,3
M059,C018,4,State Management,video,55,https://example.com/videos/react-state,Managing complex application state,4
M060,C018,5,Practice: React State,quiz,20,quiz:React State Quiz,State management quiz,5
M061,C022,1,Network Security Basics,video,35,https://example.com/videos/security-network,Firewalls and network protection,1
M062,C022,2,Encryption Fundamentals,video,40,https://example.com/videos/security-encryption,Symmetric and asymmetric encryption,2
M063,C022,3,Practice: Security Basics,quiz,25,quiz:Security Basics Quiz,Cybersecurity fundamentals quiz,3
M064,C031,1,Introduction to Pandas,video,40,https://example.com/videos/pandas-intro,DataFrames and Series basics,1
M065,C031,2,Practice: Pandas Fundamentals,quiz,20,quiz:Pandas Fundamentals,Pandas basics quiz,2
M066,C031,3,NumPy Arrays,video,35,https://example.com/videos/numpy-arrays,Array operations and broadcasting,3
M067,C031,4,Practice: NumPy,quiz,20,quiz:NumPy Arrays Quiz,NumPy concepts quiz,4
M068,C031,5,Data Manipulation,video,50,https://example.com/videos/pandas-advanced,Advanced pandas techniques,5
M069,C031,6,Practice: Data Analysis,quiz,20,quiz:Data Analysis Quiz,Data manipulation quiz,6
